date	sp	csco	intc
1991-01-02	-1.148	-2.539	0
1991-01-03	-1.4	-4.082	0
1991-01-04	-0.283	-3.021	0.647
1991-01-07	-1.747	-2.485	-0.973
1991-01-08	-0.171	3.705	-0.982
1991-01-09	-1.089	-0.608	0.982
1991-01-10	0.971	1.213	0.972
1991-01-11	0.222	-1.212	2.548
1991-01-14	-0.873	1.213	-0.631
1991-01-15	0.396	7.26	2.191
1991-01-16	0.775	4.652	4.243
1991-01-17	3.664	4.701	-0.297
1991-01-18	1.291	1.519	4.083
1991-01-21	-0.353	5.855	2.817
1991-01-22	-0.834	-2.156	-2.817
1991-01-23	0.577	-1.218	0.286
1991-01-24	1.375	-0.491	-0.285
1991-01-25	0.385	5.743	0.569
1991-01-28	-0.012	3.204	0
1991-01-29	-0.057	-0.905	1.13
1991-01-30	1.498	4.01	0.56
1991-01-31	0.882	2.16	2.21
1991-02-01	-0.256	-0.428	2.695
1991-02-04	1.53	-0.862	0
1991-02-05	0.835	0.862	2.106
1991-02-06	1.92	0.854	4.083
1991-02-07	-0.434	-3.243	-1.511
1991-02-08	0.791	3.668	-1.793
1991-02-11	2.536	-2.359	2.299
1991-02-12	-0.839	2.781	-2.817
1991-02-13	0.958	1.674	-0.26
1991-02-14	-1.309	-2.948	-1.575
1991-02-15	1.32	0	3.126
1991-02-19	0.089	-0.859	2.532
1991-02-20	-1.157	-0.432	-0.501
1991-02-21	-0.047	-1.308	-0.504
1991-02-22	0.186	-0.44	0.504
1991-02-25	0.439	0	0.502
1991-02-26	-1.219	-2.228	-1.005
1991-02-27	1.35	-2.972	-0.506
1991-02-28	-0.182	3.868	-3.093
1991-03-01	0.922	1.77	0
1991-03-04	-0.308	1.307	0.523
1991-03-05	1.981	3.404	6.795
1991-03-06	-0.146	-4.712	0.243
1991-03-07	-0.069	-4.027	0.484
1991-03-08	-0.256	1.361	-0.484
1991-03-11	-0.532	-4.61	-11.839
1991-03-12	-0.789	-6.832	-1.099
1991-03-13	1.219	5.407	5.116
1991-03-14	-0.286	-5.407	-0.262
1991-03-15	0.024	-3.077	-0.527
1991-03-18	-0.397	6.062	-0.53
1991-03-19	-1.495	1.942	-3.794
1991-03-20	0.362	9.18	1.916
1991-03-21	-0.365	-7.276	-3.587
1991-03-22	0.245	-2.871	-1.699
1991-03-25	0.637	-4.467	0.853
1991-03-26	1.734	1.512	6.313
1991-03-27	-0.253	5.827	1.058
1991-03-28	-0.035	-8.359	-1.592
1991-04-01	-1.05	-9.122	1.591
1991-04-02	2.184	15.576	2.083
1991-04-03	-0.148	0.957	1.026
1991-04-04	0.219	-2.899	0.509
1991-04-05	-1.168	-1.482	-2.051
1991-04-08	0.875	3.424	0.517
1991-04-09	-1.356	-1.942	-3.943
1991-04-10	-0.11	-0.491	1.86
1991-04-11	1.193	7.129	9.052
1991-04-12	0.731	4.485	4.236
1991-04-15	0.207	-2.667	-0.23
1991-04-16	1.673	6.959	0.691
1991-04-17	0.727	8.841	0.458
1991-04-18	-0.511	-0.772	-2.309
1991-04-19	-1.103	-3.15	-1.175
1991-04-22	-0.849	-2.429	0.706
1991-04-23	0.212	1.626	0.702
1991-04-24	0.262	3.953	2.532
1991-04-25	-0.921	-3.15	-3.704
1991-04-26	-0.061	-2.429	-1.665
